"file","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime"
"Monitor27.txt","M27","17","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","18","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","19","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","20","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","21","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","22","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","23","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","24","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","25","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","26","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","27","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","28","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","29","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","30","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","31","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
"Monitor27.txt","M27","32","CS","Grp10_Box","25","M","2024-06-30 10:05:00","2024-07-02 10:20:00"
