"id","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime","norm_sleep_time_all","norm_sleep_time_l","norm_sleep_time_d","norm_sleep_time_ZT0_4","norm_sleep_time_ZT16_20","norm_sleep_time_ZT20_24"
"2024-06-30 10:05:00|Monitor22.txt|19","M22",19,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.656218081676938,0.666387343013997,0.647679670627544,0.820771510517307,0.539876399743426,0.471441350646611
"2024-06-30 10:05:00|Monitor22.txt|20","M22",20,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.941385881451225,0.912773926936489,0.965409320369359,1.28504630434528,0.944783699550995,0.852606697977913
"2024-06-30 10:05:00|Monitor22.txt|21","M22",21,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.03723262946188,1.05623953276478,1.02127387417012,0.820771510517307,1.07975279948685,0.983005369433358
"2024-06-30 10:05:00|Monitor22.txt|22","M22",22,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.954671569294287,1.05312071524677,0.872010769483715,1.46743997334912,0.939963374553286,0.872668032047981
"2024-06-30 10:05:00|Monitor22.txt|23","M22",23,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.0424520068288,1.0832692845875,1.00818061937306,0.688121569423601,0.930322724557868,0.702146692452399
"2024-06-30 10:05:00|Monitor22.txt|24","M22",24,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.1212171561841,1.19138829187838,1.06229940586755,1.1275244992965,1.03636987450747,1.08832737330122
"2024-06-30 10:05:00|Monitor22.txt|25","M22",25,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.760131140163742,0.687179459800705,0.821383517601778,0.439402929872902,0.761611349638047,0.732238693557501
"2024-06-30 10:05:00|Monitor22.txt|26","M22",26,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.923829793944323,1.00114042328,0.858917514686663,0.970002694247726,0.886939799578485,0.983005369433358
"2024-06-30 10:05:00|Monitor22.txt|27","M22",27,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.893462507445896,1.00841766415535,0.796942775313946,1.01145580083951,0.867658499587649,0.832545363907844
"2024-06-30 10:05:00|Monitor22.txt|28","M22",28,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.24410976873242,1.31614099259863,1.18363023365357,1.64983364235297,1.12313572446623,1.12845004144136
